language;original_sentence;translated_sentence
it_IT;{content count} contents;{content count} contenuti
it_IT;{content count} other contents;{content count} altri contenuti
it_IT;{name count} others;{name count} altrui
it_IT;{name} agreed with {number} contents.;{name} è d’accordo con {number} contenuti.
it_IT;{name} agreed with a content.;{name} è d’accordo con un contenuto.
it_IT;{name} applauded {number} contents.;{name} ha applaudito {number} contenuti.
it_IT;{name} applauded a content.;{name} ha applaudito un contenuto.
it_IT;{name} approved {number} contents.;{name} ha approvato {number} contenuti.
it_IT;{name} approved a content.;{name} ha approvato un contenuto.
it_IT;{name} demanded {number} products.;{name} ha richiesto {number} prodotti.
it_IT;{name} demanded a product.;{name} ha richiesto un prodotto.
it_IT;{name} disagreed with {number} contents.;{name} non è d’accordo con {number} contenuti.
it_IT;{name} disagreed with a content.;{name} non è d’accordo con un contenuto.
it_IT;{name} disapproved {number} contents.;{name} ha disapprovato {number} contenuti.
it_IT;{name} disapproved a content.;{name} ha disapprovato un contenuto.
it_IT;{name} fancied {number} products.;{name} ha gradito {number} prodotti.
it_IT;{name} fancied a product.;{name} ha gradito un prodotto.
it_IT;{name} had {number} products.;{name} ha {number} prodotti.
it_IT;{name} had a product.;{name} ha un prodotto.
it_IT;{name} lolled at {number} contents.;{name} ha riso per {number} contenuti.
it_IT;{name} lolled at {number} products.;{name} ha riso per {number} prodotti.
it_IT;{name} lolled at a content.;{name} ha riso per un contenuto.
it_IT;{name} lolled at a product.;{name} ha riso per un prodotto.
it_IT;{name} loved {number} contents.;{name} ha amato {number} contenuti.
it_IT;{name} loved {number} products.;{name} ha amato {number} prodotti.
it_IT;{name} loved a content.;{name} ha amato un contenuto.
it_IT;{name} loved a product.;{name} ha amato un prodotto.
it_IT;{name} needed {number} products.;{name} aveva bisogno di {number} prodotti.
it_IT;{name} needed a product.;{name} aveva bisogno di un prodotto.
it_IT;{name} opposed {number} contents.;{name} si è opposto a {number} contenuti.
it_IT;{name} opposed a content.;{name} si è opposto a un contenuto.
it_IT;{name} protested at {number} contents.;{name} ha protestato per {number} contenuti.
it_IT;{name} protested at a content.;{name} ha protestato per un contenuto.
it_IT;{name} reacted to {number} contents.;{nome} ha reagito a {numero} contenuti. 
it_IT;{name} reacted to {number} products.;{nome} ha reagito a {numero} prodotti. 
it_IT;{name} reacted to a content.;{nome} ha reagito ad un contenuto.
it_IT;{name} reacted to a product.;{nome} ha reagito a un prodotto. 
it_IT;{name} respected {number} contents.;{nome} ha rispettato {numero} contenuti. 
it_IT;{name} respected a content.;{nome} ha rispettato un contenuto. 
it_IT;{name} smiled at {number} contents.;{name} ha sorriso per {number} contenuti.
it_IT;{name} smiled at {number} products.;{name} ha sorriso per {number} prodotti.
it_IT;{name} smiled at a content.;{name} ha sorriso per un contenuto.
it_IT;{name} smiled at a product.;{name} ha sorriso per un prodotto.
it_IT;{name} suggested {number} contents.;{name} ha suggerito {number} contenuti.
it_IT;{name} suggested {number} products.;{name} ha suggerito {number} prodotti.
it_IT;{name} suggested a content.;{name} ha suggerito un contenuto.
it_IT;{name} suggested a product.;{name} ha suggerito un prodotto.
it_IT;{name} supported {number} contents.;{name} ha supportato {number} contenuti.
it_IT;{name} supported a content.;{name} ha supportato un contenuto.
it_IT;{name} thought about {number} contents.;{nome} ha pensato qualcosa su {numero} contenuti. 
it_IT;{name} thought about {number} products.;{nome} ha pensato qualcosa su {numero} prodotti .
it_IT;{name} thought about a content.;{nome} ha pensato qualcosa su un contenuto. 
it_IT;{name} thought about a product.;{nome} ha pensato qualcosa su un prodotto.
it_IT;{name} wished for {number} products.;{name} ha desiderato {number} prodotti.
it_IT;{name} wished for a product.;{name} ha desiderato un prodotto.
it_IT;{name1} agreed with {content count contents}.;{name1} è d’accordo con {content count contents}.
it_IT;{name1} agreed with {content1} and {content count other contents}.;{name1} è d’accordo con {content1} e {content count other contents}.
it_IT;{name1} agreed with {content1} and {content2}.;{name1} è d’accordo con {content1} e {content2}.
it_IT;{name1} agreed with {content1}.;{name1} è d’accordo con {content1}.
it_IT;{name1} agreed with a content.;{name1} è d’accordo con un contenuto.
it_IT;{name1} agreed with this.;{name1} è d’accordo con questo.
it_IT;{name1} and {name count others} agreed with {content count contents}.;{name1} e {name count others} sono d’accordo con {content count contents}.
it_IT;{name1} and {name count others} agreed with {content1} and {content count other contents}.;{name1} e {name count others} sono d’accordo con {content1} e {content count other contents}.
it_IT;{name1} and {name count others} agreed with {content1} and {content2}.;{name1} e {name count others} sono d’accordo con {content1} e {content2}.
it_IT;{name1} and {name count others} agreed with {content1}.;{name1} e {name count others} sono d’accordo con {content1}.
it_IT;{name1} and {name count others} agreed with a content.;{name1} e {name count others} soni d’accordo con un contenuto.
it_IT;{name1} and {name count others} applauded {content count contents}.;{name1} e {name count others} hanno applaudito {content count contents}.
it_IT;{name1} and {name count others} applauded {content1} and {content count other contents}.;{name1} e {name count others} ha applaudito {content1} e {content count other contents}.
it_IT;{name1} and {name count others} applauded {content1} and {content2}.;{name1} e {name count others} hanno applaudito {content1} e {content2}.
it_IT;{name1} and {name count others} applauded {content1}.;{name1} e {name count others} hanno applaudito {content1}.
it_IT;{name1} and {name count others} applauded a content.;{name1} e {name count others} hanno applaudito un contenuto.
it_IT;{name1} and {name count others} approved {content count contents}.;{name1} e {name count others} hanno approvato {content count contents}.
it_IT;{name1} and {name count others} approved {content1} and {content count other contents}.;{name1} e {name count others} hanno approvato {content1} e {content count other contents}.
it_IT;{name1} and {name count others} approved {content1} and {content2}.;{name1} e {name count others} hanno approvato {content1} e {content2}.
it_IT;{name1} and {name count others} approved {content1}.;{name1} e {name count others} hanno approvato {content1}.
it_IT;{name1} and {name count others} approved a content.;{name1} e {name count others} hanno approvato un contenuto.
it_IT;{name1} and {name count others} demanded {product count products}.;{name1} e {name count others} hanno richiesto {product count products}.
