Language;Hash;Sentence;Context
en_US;0007305bc423f7a33ff197288b09c9d9;a product {name} fancied;
en_US;006f96bc867f03d48e047e2a93870b68;{name1} and {name2} disapproved {content1} and {content2}.;
en_US;00a50d127ceac38d22bbeada2a44b20b;{name1} thought a content.;
en_US;00bb56258fc6559b4947e7c00eb10a35;{name1} and {name count others} needed {product1}.;
en_US;0107262cb9ac9febe8f00e06ba72ae82;{name1} is reacting to a product.;
en_US;010bbac31f0c6999988ae9736a9ea6be;{name1} and {name2} respected {content1}.;
en_US;01190e7e0d4c894bfb3d577fe0eceb72;{name1} and {name count others} suggested a content.;
en_US;01594f34af180ed48cd5dcaae1852b71;{name1} and {name2} like {product count products} on {App Name}.;
en_US;01aee94091afd5b7a5d4f68add8953d7;{name1} and {name count others} protested {content count contents}.;
en_US;01b5e27e26b12d3abdc063dc5617ecfd;{name1} is applauding {content count contents}.;
en_US;01e3b1d8a6c262684bf3ee52305f104a;{name1} and {name count others} wished for {content1}.;
en_US;01eb096f45e00fce702df0fa3cc30f79;{name1} and {name2} thought a product.;
en_US;021ed7bff0c612fc89f923afebfa37b2;{product count} other products;In the phrase: "{name1} is having {product1} and {product count other products}."
en_US;022552e9f65eb5b8230977c0b3a2f53d;{name} opposed a content.;
en_US;024a3fb19328bf77f507e413474af189;{product count} products;In the phrase: "{name1} and {name count others} are demanding {product count products}."
en_US;0260d670c61f4c31bf2e544509000472;{name1} and {name count} others loved this.;
en_US;02964380e3c450150e145660f60d31f1;{name1} and {name count others} are reacting to {product1}.;
en_US;02aafb7ac1af2f42c560a1d0ef11982c;contents they disapproved;
en_US;02cce8473a9e7659e228eb814562552c;contents you approved;
en_US;02e01766991a1cb4050602ba06a03e95;{name} is opposing {number} contents.;
en_US;02fd2c288064b8fe5945df2a39594ef7;{count} products;In the phrase: "{name} bought you {=[count] products}."
en_US;03046ebf58b78422b17f33c2896fb7e9;You and 1 other smiled this.;
en_US;03271b9f420ee2999c977e15a6d69551;{name count} others;In the phrase: "{name1} and {name count others} liked {content1} and {content count other contents} on {App Name}."
en_US;032b4a33eebe9317344a1cc367291646;{name1} is opposing {content1}.;
en_US;034733368a456ae4f25113ca19f313d4;{name1} and {name count others} bought you {=[count] products}.;
en_US;035c29bfd75243a31db38939fcdc8b5b;{name1} and {name2} protested {content1} and {content2}.;
en_US;0360982b81d2a6cfab1bbbcb2f6e0789;{name1} is applauding a content.;
en_US;0380c1d114705c0bec8db0d582a385db;{name} is agreeing {number} contents.;
en_US;039fec203e303d28b7d683d5c60a61cf;{name count} others;In the phrase: "{name1} and {name count others} reacted to a product."
en_US;03a6e4afef93b82db25e0835c793b11b;{count} contents and other requests;In the phrase: "{name1} and {name2} bought you {=[count] contents and other requests}."
en_US;03c0a847025d2d1542ba9f633adc98b9;contents he approved;
en_US;03d8bb62caa57d1c962c03beb603ddfa;{name count} others;In the phrase: "{name1} and {name count others} are fancying {product1} and {product2}."
en_US;03e70af99ddf548187f0a90c65e3bc3d;{name} applauded a content.;
en_US;03fa2cf06f31a186528175296d69e786;{name1} and {name count others} bought you {=a product and other requests}.;
en_US;043121342bdbd76358b1a73b7906f0b2;{product count} other products;In the phrase: "{name1} and {name2} had {product1} and {product count other products}."
en_US;044057f9592aa5275c0f930f6b39f516;{name} approved a content on {application}.;
en_US;045bbcc167abb1a9ae24beb2c499c0d7;{name1} and {name2} lolled {content1}.;
en_US;048957da3101d0f2b3f617317abd924f;{name} is smiling a product.;
en_US;04ae60509c1f0ba94dc21a2fd035bd79;a content they disapproved;
en_US;04b1cb5718da9d0cc5ac9e797baff80c;{name1} and {name count others} are protesting a content.;
en_US;04e140b179f30e04f0662e2d33ee7cad;You opposed this.;
en_US;04e6863503b60eb02f9ac56421076d89;{name count} others;In the phrase: "{name1} and {name count others} are demanding {product1} and {product2}."
en_US;050d69ef0a9d747f398bf699746b8929;{name1} and {name2} suggested {content1} and {content count other contents}.;
en_US;05150042b0e2e386e758e0f6f69b6b8b;{content count} other contents;In the phrase: "{name1} applauded {content1} and {content count other contents}."
en_US;052188c397a040e8734f3e141adb7398;{name count} others;In the phrase: "{name1} and {name count others} opposed {content1} and {content count other contents}."
en_US;0537b6cefbf31760105e424dae1843de;{name count} others;In the phrase: "{name1} and {name count others} lolled {content1}."
en_US;0546fd330c7e50c03a9245f08d01b80c;a content they wished for;
en_US;05aa873f0484d1f7c3940bb2a89b8948;{name1} wished for {product1} and {product count other products}.;
en_US;05ad2a3db9eaec7a5f9875f7d1dc3de3;You and {name count} others thought this.;
en_US;05b48b484a2e128fffe2cf77b7b35ebd;a product he wished for;
en_US;05b78d7a1fd6a02184d2f3771f9e98df;{name1} and {name2} asked you for {=[count] contents and other requests}.;
en_US;05d5165194cdb59bf9e7bbfd9af6262b;{name1} and {name2} are smiling {content1} and {content count other contents}.;
en_US;05ddcb9691b2b7bd403fe0c60ba155fb;{name1} and {name2} loved this.;
en_US;05e63a31d79883ac998992693fbf9cc0;{content count} other contents;In the phrase: "{name1} and {name2} disagreed {content1} and {content count other contents}."
en_US;05f32715909e490bd130b72ca7fdf296;{content count} contents;In the phrase: "{name1} is respecting {content count contents}."
en_US;0619696d1d2fbe13fe3c91334efe5fe7;{name1} and {name2} suggested {product1}.;
en_US;061bd7135d7e6f8ea3d47a15de0b522c;{name1} and {name count others} are needing {product1} and {product count other products}.;
