language;original_sentence;translated sentence
pt_BR;{content count} contents;{content count} conteúdos
pt_BR;{content count} other contents;{content count} outros conteúdos
pt_BR;{name count} others;{name count} outros
pt_BR;{name} agreed with {number} contents.;{name} concordou com {number} conteúdos.
pt_BR;{name} agreed with a content.;{name} concordou com um conteúdo.
pt_BR;{name} applauded {number} contents.;{name} aplaudiu {number} conteúdos.
pt_BR;{name} applauded a content.;{name} aplaudiu um conteúdo.
pt_BR;{name} approved {number} contents.;{name} aprovou {number} conteúdos.
pt_BR;{name} approved a content.;{name} aprovou um conteúdo.
pt_BR;{name} demanded {number} products.;{name} exigiu {number} produtos.
pt_BR;{name} demanded a product.;{name} exigiu um produto.
pt_BR;{name} disagreed with {number} contents.;{name} discordou de {number} conteúdos.
pt_BR;{name} disagreed with a content.;{name} discordou de um conteúdo.
pt_BR;{name} disapproved {number} contents.;{name} desaprova {number} conteúdos.
pt_BR;{name} disapproved a content.;{name} desaprova um conteúdo.
pt_BR;{name} fancied {number} products.;{name} curtiu {number} produtos.
pt_BR;{name} fancied a product.;{name} curtiu um produto.
pt_BR;{name} had {number} products.;{name} tem {number} produtos.
pt_BR;{name} had a product.;{name} tem um produto.
pt_BR;{name} lolled at {number} contents.;{name} riu às gargalhadas de {number} conteúdos.
pt_BR;{name} lolled at {number} products.;{name} riu às gargalhadas de {number} produtos.
pt_BR;{name} lolled at a content.;{name} riu às gargalhadas de um conteúdo.
pt_BR;{name} lolled at a product.;{name} riu às gargalhadas de um produto.
pt_BR;{name} loved {number} contents.;{name} amou {number} conteúdos.
pt_BR;{name} loved {number} products.;{name} amou {number} produtos.
pt_BR;{name} loved a content.;{name} amou um conteúdo.
pt_BR;{name} loved a product.;{name} amou um produto.
pt_BR;{name} needed {number} products.;{name} necessita {number} produtos.
pt_BR;{name} needed a product.;{name} necessita um produto.
pt_BR;{name} opposed {number} contents.;{name} opõe-se a {number} conteúdos.
pt_BR;{name} opposed a content.;{name} opõe-se a um conteúdo.
pt_BR;{name} protested at {number} contents.;{name} protestou contra {number} conteúdos.
pt_BR;{name} protested at a content.;{name} protestou contra um conteúdo.
pt_BR;{name} reacted to {number} contents.;{name} reagiu a {number} conteúdos.
pt_BR;{name} reacted to {number} products.;{name} reagiu a {number} produtos.
pt_BR;{name} reacted to a content.;{name} reagiu a um conteúdo.
pt_BR;{name} reacted to a product.;{name} reagiu a um produto.
pt_BR;{name} respected {number} contents.;{name} respeita {number} conteúdos.
pt_BR;{name} respected a content.;{name} respeita um conteúdo.
pt_BR;{name} smiled at {number} contents.;{name} sorriu a {number} conteúdos.
pt_BR;{name} smiled at {number} products.;{name} sorriu a {number} produtos.
pt_BR;{name} smiled at a content.;{name} sorriu a um conteúdo.
pt_BR;{name} smiled at a product.;{name} sorriu a um produto.
