Language;Hash;Sentence;Context
en_US;0056c8fbafd06c0264052d93c6633e9a;{name1} and {name count others} are thinking about {product count products} on {GetSocial C ac}.;
en_US;005bdad426fd70b2213a2477eab85764;{name count} others;In the phrase: "{name1} and {name count others} had {product1} on {GetSocial C ac}."
en_US;01bc2183aff4ce132648c3c6c920217a;{name count} others;In the phrase: "{name1} and {name count others} thought about {product1} and {product2} on {GetSocial C ac}."
en_US;01e908be18db0c4645f9e1ace7889750;{name1} and {name2} are suggesting {product1} and {product count other products} on {GetSocial C ac}.;
en_US;022552e9f65eb5b8230977c0b3a2f53d;{name} opposed a content.;
en_US;0246b8147bd964102144f0bbbefe3232;{product count} products;In the phrase: "{name1} and {name2} wished {product count products} on {GetSocial C ac}."
en_US;025112e3ae4e9ba30585a7b89db90442;{product count} products;In the phrase: "{name1} reacted to {product count products} on {GetSocial C ac}."
en_US;02512919b7bf9fea81dfe519535ab473;{content count} contents;In the phrase: "{name1} and {name2} agreed with {content count contents} on {GetSocial C ac}."
en_US;0263b3342c5683db39cb0b87aeb285b5;{name1} is smiling at {product1} and {product2} on {GetSocial C ac}.;
en_US;027bdff1a60115e9cf0625f467061365;{name1} and {name2} are needing {product1} and {product count other products} on {GetSocial C ac}.;
en_US;02866adbe88a5b555bf4eacfaeb03e0a;{name count} others;In the phrase: "{name1} and {name count others} are wishing a product on {GetSocial C ac}."
en_US;02e01766991a1cb4050602ba06a03e95;{name} is opposing {number} contents.;
en_US;0347d099987b2677f6ae74b18e080644;{name1} and {name count others} are applauding {content count contents} on {GetSocial C ac}.;
en_US;037f200f2da5afdaf103cd431add1155;{name1} is suggesting {content1} and {content2} on {GetSocial C ac}.;
en_US;03b22a87aebcbcb52b03cacc1f4ce946;Respected {content1} on {GetSocial C ac}.;
en_US;03e70af99ddf548187f0a90c65e3bc3d;{name} applauded a content.;
en_US;0411037b8dde66e59496b3e9cf5459fa;{name1} is protesting at {content1} and {content count other contents} on {GetSocial C ac}.;
en_US;041e4239d36316426387f70130f474bb;{content count} contents;In the phrase: "{name1} is suggesting {content count contents} on {GetSocial C ac}."
en_US;0437fa07a72db5b6d5c54251ba7d3bb0;{name count} others;In the phrase: "{name1} and {name count others} are lolling at {content1} and {content2} on {GetSocial C ac}."
en_US;04788ed4b1decb22b87313e3d5bd121b;{name1} is loving {content1} and {content count other contents} on {GetSocial C ac}.;
en_US;04b03d4b4583ef932cb9029fb7c114cb;Is smiling at {product1} on {GetSocial C ac}.;
en_US;04b9483f7ed7cb09825f5ca79c4d5793;{name count} others;In the phrase: "{name1} and {name count others} reacted to {product count products} on {GetSocial C ac}."
en_US;05b78d7a1fd6a02184d2f3771f9e98df;{name1} and {name2} asked you for {=[count] contents and other requests}.;
en_US;05e4482d3bc282efac93888eb0a781a2;{name count} others;In the phrase: "{name1} and {name count others} are fancying {product count products} on {GetSocial C ac}."
en_US;068b9ec370b8d4e4adb328c95db7ed3c;{name count} others;In the phrase: "{name1} and {name count others} thought about {content count contents} on {GetSocial C ac}."
en_US;0692eef059daabb5556f2cfd4aa2678d;{name} asked you for {=[count] products and other requests}.;
en_US;06cce410d186c31826e4795df6be7339;{name count} others;In the phrase: "{name1} and {name count others} are protesting at {content count contents} on {GetSocial C ac}."
en_US;06d91db5d073e7859ac11628dd9c8807;{name1} respected this.;
en_US;07451ce3fdafc885585ed8ff60cc1d85;Loved {product1} on {GetSocial C ac}.;
en_US;07b75ee2992408b1422f3f77d5a1e774;{product count} other products;In the phrase: "{name1} and {name count others} are suggesting {product1} and {product count other products} on {GetSocial C ac}."
en_US;07d3271a5c7db9987033e466cc8227b4;{name} is applauding a content on {application}.;
en_US;080887dbc4357f60396f46cfd2c59e7c;{name1} is smiling at a content on {GetSocial C ac}.;
en_US;080b735269dd8846ec7471f772321f0c;{content count} contents;In the phrase: "{name1} is opposing {content count contents} on {GetSocial C ac}."
en_US;0821c9d87c9be6d53411be15f546717a;Lolled at {product1}.;
en_US;083831766aea05c63202537367daaca9;{product count} products;In the phrase: "{name1} and {name count others} had {product count products} on {GetSocial C ac}."
en_US;0868d06d67b9f8628c4903126013472c;{product count} other products;In the phrase: "{name1} had {product1} and {product count other products} on {GetSocial C ac}."
en_US;08b8f3bd761c25d0d3278d8637e29cf2;{name1} is opposing {content count contents} on {GetSocial C ac}.;
en_US;08e941408eb1e27c0ba1b27a47df3cce;Be the first of your friends who is smiling at this.;
en_US;08f815c985ca614e7e337513fc90c3f7;{name1} is needing {product1} on {GetSocial C ac}.;
en_US;091e268b646b60efd83b77e7d08ba32b;{name1} and {name2} sent you {=a content and other requests}.;
en_US;0922f309080b89b8861d9f40bbfb1cf3;{name1} is thinking about {product count products} on {GetSocial C ac}.;
en_US;09311b2a9e3a622bf516132202890171;{name1} is agreeing with {content1} and {content2} on {GetSocial C ac}.;
en_US;09395cfc001c7d1074bbb4869bbc0339;{name} is fancying {number} products on {application}.;
en_US;094ef7fd90d36c3cf221ffac444ceffc;{name} asked you for {=a product}.;
en_US;098b8a03a3e19185869b5cd3eb2930c9;{content count} other contents;In the phrase: "{name1} and {name count others} thought about {content1} and {content count other contents} on {GetSocial C ac}."
en_US;0999e5f9b14e11e41b550e0b3e6bd3a7;{name1} is suggesting {product count products} on {GetSocial C ac}.;
en_US;0a3eb293596b3dc711e98860225eecab;a content and other requests;In the phrase: "{name} sent you {=a content and other requests}."
en_US;0ad856edd8f4637e971d706d5ec6dd10;{name1} supported {content1}.;
en_US;0af90ff3bd26cb8201ed3aef1d55aee7;{content count} contents;In the phrase: "{name1} is respecting {content count contents} on {GetSocial C ac}."
en_US;0b8a665ebd728f52d057ab100d76569f;{name count} others;In the phrase: "{name1} and {name count others} applauded {content1} and {content count other contents} on {GetSocial C ac}."
en_US;0ba70b88709f2e82ab236d1b6a1893b6;{name} supported a content.;
en_US;0bac915fe82a076b9559b8411d4bd906;{name1} and {name2} are disapproving {content count contents} on {GetSocial C ac}.;
en_US;0baf5b436afbf94937d43dcb025c7066;{product count} other products;In the phrase: "{name1} wished {product1} and {product count other products} on {GetSocial C ac}."
en_US;0bb780e078711186d208ad999075832d;{content count} contents;In the phrase: "{name1} and {name2} are disapproving {content count contents} on {GetSocial C ac}."
en_US;0bd23904485f6a2bee9271a1aada71a0;{content count} contents;In the phrase: "{name1} respected {content count contents} on {GetSocial C ac}."
en_US;0bd835ab429bea6b23f0742f1d74d6e7;{name} sent you {=a content and other requests}.;
en_US;0c52d8ec5d507aeac94b208c26f3579f;Approved {content1} on {GetSocial C ac}.;
en_US;0d5cbf26e175fbbcfd55d036a6c73fdc;1 content;In the phrase: "{=1 content} sent by {name}"
en_US;0ddb1bbe5a455cdc7b42d8cf30ef8cfc;{name count} others;In the phrase: "{name1} and {name count others} suggested {content1} on {GetSocial C ac}."
en_US;0e65f4145c964a11220983cf5266a839;{name1} smiled at this.;
en_US;0e8105f526a32af3a49d38787615c728;{name count} others;In the phrase: "{name1} and {name count others} thought about {product count products} on {GetSocial C ac}."
en_US;0e8fb608b94b57f1cec95e79ad1db036;{name count} others;In the phrase: "{name1} and {name count others} are agreeing with a content on {GetSocial C ac}."
en_US;0e92075b72dc0143023e21e1a3f122e6;{name count} others;In the phrase: "{name1} and {name count others} respected {content1} on {GetSocial C ac}."
en_US;0e954368455629b313f0f769d3a45a92;{name count} others;In the phrase: "{name1} and {name count others} thought about {content1} and {content2} on {GetSocial C ac}."
en_US;0ea1b65fa90218215ca5ccc2b4725cf9;{name1} and {name2} are opposing {content1} on {GetSocial C ac}.;
en_US;0eab358940585e7af24e16456dbfc1fd;{content count} contents;In the phrase: "{name1} and {name2} are lolling at {content count contents} on {GetSocial C ac}."
en_US;0ec48588d0c5948eacf73c68f92f2c62;{product count} other products;In the phrase: "{name1} is having {product1} and {product count other products} on {GetSocial C ac}."
en_US;0ec499e6e864c0d9494d8def6a721b68;{name1} and {name count others} are reacting to {content1} and {content count other contents} on {GetSocial C ac}.;
en_US;0ecc120e2b2de43bfeec296029062ace;{name count} others;In the phrase: "{name1} and {name count others} disagreed with {content count contents} on {GetSocial C ac}."
en_US;0ed10df25e3f6ba4d84ad2351ed0d49b;{content count} other contents;In the phrase: "{name1} and {name2} smiled at {content1} and {content count other contents} on {GetSocial C ac}."
en_US;0eebe7cbddb7d9ab7981aa071e590d59;Loved {content1} on {GetSocial C ac}.;
en_US;0ef1dc2aea5436b70b4f06d0f909320b;{content count} other contents;In the phrase: "{name1} and {name2} lolled {content1} and {content count other contents} on {GetSocial C ac}."
en_US;0f10a7611dfe1fbc5af493c5f21747e5;{name1} and {name count others} are suggesting {product1} and {product2} on {GetSocial C ac}.;
en_US;0f421280b88c94e3eae7828cb0c14214;{content count} other contents;In the phrase: "{name1} and {name count others} are applauding {content1} and {content count other contents} on {GetSocial C ac}."
en_US;0f97bd214bfa02e6c59f5c625e2f97c5;{name count} others;In the phrase: "{name1} and {name count others} are respecting a content on {GetSocial C ac}."
en_US;0fab47c60154b27d33525be5fecd31d5;{product count} other products;In the phrase: "{name1} fancied {product1} and {product count other products} on {GetSocial C ac}."
en_US;0fb4062f98759abbcee5aa544ea1251e;{product count} other products;In the phrase: "{name1} and {name2} are needing {product1} and {product count other products} on {GetSocial C ac}."
en_US;0fec53d92543ce7b67a06a7d91f0184f;{name} is smiling at {number} contents on {application}.;
en_US;105f10586599ecd0f8bb24362669bc0d;{content count} contents;In the phrase: "{name1} and {name count others} are loving {content count contents} on {GetSocial C ac}."
en_US;1064868f4e5609e76c0bd27ef64fbfb7;{content count} other contents;In the phrase: "{name1} and {name count others} are supporting {content1} and {content count other contents} on {GetSocial C ac}."
en_US;1066d95fed328a22f25a437cb4dbc9b5;{name count} others;In the phrase: "{name1} and {name count others} are reacting to {product count products} on {GetSocial C ac}."
