language;original_sentence;translated sentence
es_LA;{content count} contents;{content count} contenidos
es_LA;{content count} other contents;{content count} otros contenidos
es_LA;{name count} others;{name count} otros
es_LA;{name} agreed with {number} contents.;{name} está de acuerdo con {number} contenidos.
es_LA;{name} agreed with a content.;{name} está de acuerdo con un contenido.
es_LA;{name} applauded {number} contents.;{name} aplaudió {number} contenidos.
es_LA;{name} applauded a content.;{name} aplaudió un contenido.
es_LA;{name} approved {number} contents.;{name} aprobó {number} productos.
es_LA;{name} approved a content.;{name} aprobó un contenido.
es_LA;{name} demanded {number} products.;{name} solicita {number} productos.
es_LA;{name} demanded a product.;{name} solicita un producto.
es_LA;{name} disagreed with {number} contents.;{name} no está de acuerdo con {number} contenidos.
es_LA;{name} disagreed with a content.;{name} no está de acuerdo con un contenido.
es_LA;{name} disapproved {number} contents.;{name} desaprueba {number} contenidos.
es_LA;{name} disapproved a content.;{name} desaprueba un contenido.
es_LA;{name} fancied {number} products.;{name} quiere {number} productos.
es_LA;{name} fancied a product.;{name} quiere un producto.
es_LA;{name} had {number} products.;{name} tiene {number} productos.
es_LA;{name} had a product.;{name} tiene un producto.
es_LA;{name} lolled at {number} contents.;{name} se rió a carcajadas de {number} contenidos.
es_LA;{name} lolled at {number} products.;{name} se rió a carcajadas de {number} productos.
es_LA;{name} lolled at a content.;{name} se rió a carcajadas de un contenido.
es_LA;{name} lolled at a product.;{name} se rió a carcajadas de un producto.
es_LA;{name} loved {number} contents.;{name} ama {number} contenidos.
es_LA;{name} loved {number} products.;{name} ama {number} productos.
es_LA;{name} loved a content.;{name} ama un contenido.
es_LA;{name} loved a product.;{name} ama un producto.
es_LA;{name} needed {number} products.;{name} necesita {number} productos.
es_LA;{name} needed a product.;{name} necesita un producto.
es_LA;{name} opposed {number} contents.;{name} se opone a {number} contenidos.
es_LA;{name} opposed a content.;{name} se opone a un contenido.
es_LA;{name} protested at {number} contents.;{name} protesta en contra de {number} contenidos.
es_LA;{name} protested at a content.;{name} protesta en contra de un contenido.
es_LA;{name} reacted to {number} contents.;{name} ha reaccionado a {number} contenidos.
es_LA;{name} reacted to {number} products.;{name} ha reaccionado a {number} productos.
es_LA;{name} reacted to a content.;{name} ha reaccionado a un contenido.
es_LA;{name} reacted to a product.;{name} ha reaccionado a un producto.
es_LA;{name} respected {number} contents.;{name} ha respetado {number} contenidos.
es_LA;{name} respected a content.;{name} ha respetado un contenido.
es_LA;{name} smiled at {number} contents.;{name} le sonrió a {number} contenidos.
es_LA;{name} smiled at {number} products.;{name} le sonrió a {number} productos.
es_LA;{name} smiled at a content.;{name} le sonrió a un contenido.
es_LA;{name} smiled at a product.;{name} le sonrió a un producto.
es_LA;{name} suggested {number} contents.;{name} recomienda {number} contenidos.
es_LA;{name} suggested {number} products.;{name} recomienda {number} productos.
es_LA;{name} suggested a content.;Un contenido que {name} recomienda.
es_LA;{name} suggested a product.;{name} recomienda un producto.
es_LA;{name} supported {number} contents.;{name} apoya {number} contenidos.
es_LA;{name} supported a content.;{name} apoya un contenido.
es_LA;{name} thought about {number} contents.;{name} pensó algo sobre {number} contenidos.
es_LA;{name} thought about {number} products.;{name} pensó algo sobre {number} productos.
es_LA;{name} thought about a content.;{name} pensó algo sobre un contenido.
es_LA;{name} thought about a product.;{name} pensó algo sobre un producto.
es_LA;{name} wished {number} products.;{name} desea {number} productos.
es_LA;{name} wished a product.;{name} desea un producto.
es_LA;{name1} agreed with {content count contents}.;{name1} está de acuerdo con {content count contents}.
es_LA;{name1} agreed with {content1} and {content count other contents}.;{name1} está de acuerdo con {content1} y {content count other contents}.
es_LA;{name1} agreed with {content1} and {content2}.;{name1} está de acuerdo con {content1} y {content2}.
es_LA;{name1} agreed with {content1}.;{name1} está de acuerdo con {content1}.
es_LA;{name1} agreed with a content.;{name1} está de acuerdo con un contenido.
es_LA;{name1} agreed with this.;{name1} está de acuerdo con esto.
es_LA;{name1} and {name count others} agreed with {content count contents}.;{name1} y {name count others} están de acuerdo con {content count contents}.
es_LA;{name1} and {name count others} agreed with {content1} and {content count other contents}.;{name1} y {name count others} están de acuerdo con {content1} y {content count other contents}.
es_LA;{name1} and {name count others} agreed with {content1} and {content2}.;{name1} y {name count others} están de acuerdo con {content1} y {content2}.
es_LA;{name1} and {name count others} agreed with {content1}.;{name1} y {name count others} están de acuerdo con {content1}.
es_LA;{name1} and {name count others} agreed with a content.;{name1} y {name count others} están de acuerdo con un contenido.
es_LA;{name1} and {name count others} applauded {content count contents}.;{name1} y {name count others} aplaudieron {content count contents}.
es_LA;{name1} and {name count others} applauded {content1} and {content count other contents}.;{name1} y {name count others} aplaudieron {content1} and {content count other contents}.
es_LA;{name1} and {name count others} applauded {content1} and {content2}.;{name1} y {name count others} aplaudieron {content1} y {content2}.
es_LA;{name1} and {name count others} applauded {content1}.;{name1} y {name count others} aplaudieron {content1}.
es_LA;{name1} and {name count others} applauded a content.;{name1} y {name count others} aplaudieron un contenido.
es_LA;{name1} and {name count others} approved {content count contents}.;{name1} y {name count others} aprobaron {content count contents}.
es_LA;{name1} and {name count others} approved {content1} and {content count other contents}.;{name1} y {name count others} aprobaron {content1} y {content count other contents}.
es_LA;{name1} and {name count others} approved {content1} and {content2}.;{name1} y {name count others} aprobaron {content1} y {content2}.
es_LA;{name1} and {name count others} approved {content1}.;{name1} y {name count others} aprobaron {content1}.
es_LA;{name1} and {name count others} approved a content.;{name1} y {name count others} aprobaron un contenido.
es_LA;{name1} and {name count others} demanded {product count products}.;{name1} y {name count others} solicitan {product count products}.
es_LA;{name1} and {name count others} demanded {product1} and {product count other products}.;{name1} y {name count others} solicitan {product1} and {product count other products}.
es_LA;{name1} and {name count others} demanded {product1} and {product2}.;{name1} y {name count others} solicitan {product1} y {product2}.
es_LA;{name1} and {name count others} demanded {product1}.;{name1} y {name count others} solicitan {product1}.
es_LA;{name1} and {name count others} demanded a product.;{name1} y {name count others} solicitan un producto.
es_LA;{name1} and {name count others} disagreed with {content count contents}.;{name1} y {name count others} no están de acuerdo con {content count contents}.
es_LA;{name1} and {name count others} disagreed with {content1} and {content count other contents}.;{name1} y {name count others} no están de acuerdo con {content1} y {content count other contents}.
es_LA;{name1} and {name count others} disagreed with {content1} and {content2}.;{name1} y {name count others} no están de acuerdo con {content1} y {content2}.
es_LA;{name1} and {name count others} disagreed with {content1}.;{name1} y {name count others} no están de acuerdo con {content1}.
es_LA;{name1} and {name count others} disagreed with a content.;{name1} y {name count others} no están de acuerdo con un contenido.
es_LA;{name1} and {name count others} disapproved {content count contents}.;{name1} y {name count others} desaprueban {content count contents}.
es_LA;{name1} and {name count others} disapproved {content1} and {content count other contents}.;{name1} y {name count others} desaprueban {content1} y {content count other contents}.
es_LA;{name1} and {name count others} disapproved {content1} and {content2}.;{name1} y {name count others} desaprueban {content1} y {content2}.
