Language,Hash,Sentence,Loc,Translated Sentence
en_US,006f96bc867f03d48e047e2a93870b68,{name1} and {name2} disapproved {content1} and {content2}.,es_ES,{name1} y {name2} desaprueban {content1} y {content2}.
en_US,02aafb7ac1af2f42c560a1d0ef11982c,contents they disapproved,es_ES,Contenídos que ellos desaprueban.
en_US,04ae60509c1f0ba94dc21a2fd035bd79,a content they disapproved,es_ES,Un contenído que ellos desaprueban.
en_US,0e8c07f367b4d7ea42b27ac1ea94d545,{name1} disapproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} desaprueban un contenído {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,13b25ea7816f4da1dcc6eb896d3c9c42,{name1} and {name2} disapproved {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} y {name2} desaprueban {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,1bbef37b45e05740ab03404bf12b92e2,{name1} disapproved this.,es_ES,{name1} desaprueba esto.
en_US,1c07fac3d406f64bc86df2d44bd9147e,a content she disapproved,es_ES,Un contenído que ella desaprueba.
en_US,1ceffedefd22b74f6c7fceaecd6ec55c,{name1} and {name2} disapproved {content1} and {content count other contents}.,es_ES,{name1} y {name2} desaprueban {content1} y {content count other contents}.
en_US,2dd2ce01e07ecfc6587de6cd9daa96d3,{name1} disapproved {content1} and {content2}.,es_ES,{name1} desaprueba {content1} y {content2}.
en_US,3255c5f4cacedb2a5ca2d41ff0599ec5,1 other disapproved this.,es_ES,Alguién más desaprueba esto.
en_US,3382986b6c33713faf04a6238d22d692,{name} disapproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name} desaprueba un contenído {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,38ee7e113911b28794ba4ff935bc68bf,contents you disapproved,es_ES,Contenídos que usted desaprueba.
en_US,3de3d3de20b276e874ec0ab8ed2366da,{name} disapproved a content.,es_ES,{name} desaprueba un contenído.
en_US,44fa11ccaade5d1e2da1bd0a3ebeda73,Disapproved {content1}.,es_ES,Desaprueba {content1}.
en_US,4e4f1ca3b6436ac36d44711ae67112eb,{name1} disapproved {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} desaprueba {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,4faf967df2b9eb6e7fd5b4c612ac166d,{name1} and {name count} others disapproved this.,es_ES,{name1} y {name count} otros desaprueban esto.
en_US,506e807e964ceb08e8bd3d7fcc32762b,{name1} and {name count others} disapproved {content1} and {content count other contents}.,es_ES,{name1} y {name count others} desaprueban {content1} y {content count other contents}.
en_US,51c0b39895f4ae8e089c4f60aa4e7943,{name1} disapproved {content1} and {content count other contents}.,es_ES,{name1} desaprueba {content1} y {content count other contents}.
en_US,521c2dbc9bb49f414ef5bb62fe3e55eb,contents he disapproved,es_ES,Contenídos que él desaprueba.
en_US,535ba339f4968b23b3414449e7206168,You and 1 other disapproved this.,es_ES,Usted y alguien más desaprueba esto.
en_US,60fe3ff11394ec1a7880e7d7eafa19cf,contents {name} disapproved,es_ES,Contenídos que {name} desaprueba.
en_US,68a749275033c76d926daa55088b56a2,{number} others disapproved this. Be the first of your friends.,es_ES,{number} otros desaprueban esto. Sé el primero de tus amigos.
