Language;Hash;Sentence;Context
en_US;0007305bc423f7a33ff197288b09c9d9;a product {name} fancied;
en_US;0056c8fbafd06c0264052d93c6633e9a;{name1} and {name count others} are thinking about {product count products} on {GetSocial C ac}.;
en_US;005bdad426fd70b2213a2477eab85764;{name count} others;In the phrase: "{name1} and {name count others} had {product1} on {GetSocial C ac}."
en_US;00632e74769d0451c4af18fd93863d44;{name} protested at {number} contents on {application}.;
en_US;00bbe266d213f31bc296b986633f9e19;{name1} suggested {product count products} on {GetSocial C ac}.;
en_US;0155c92d44896e8c0eb8832116ff3b07;{name1} wished this.;
en_US;01bc2183aff4ce132648c3c6c920217a;{name count} others;In the phrase: "{name1} and {name count others} thought about {product1} and {product2} on {GetSocial C ac}."
en_US;01e908be18db0c4645f9e1ace7889750;{name1} and {name2} are suggesting {product1} and {product count other products} on {GetSocial C ac}.;
en_US;022552e9f65eb5b8230977c0b3a2f53d;{name} opposed a content.;
en_US;0246b8147bd964102144f0bbbefe3232;{product count} products;In the phrase: "{name1} and {name2} wished {product count products} on {GetSocial C ac}."
en_US;025112e3ae4e9ba30585a7b89db90442;{product count} products;In the phrase: "{name1} reacted to {product count products} on {GetSocial C ac}."
en_US;02512919b7bf9fea81dfe519535ab473;{content count} contents;In the phrase: "{name1} and {name2} agreed with {content count contents} on {GetSocial C ac}."
en_US;0260d670c61f4c31bf2e544509000472;{name1} and {name count} others loved this.;
en_US;0263b3342c5683db39cb0b87aeb285b5;{name1} is smiling at {product1} and {product2} on {GetSocial C ac}.;
en_US;027bdff1a60115e9cf0625f467061365;{name1} and {name2} are needing {product1} and {product count other products} on {GetSocial C ac}.;
en_US;02809763922dcedb41e1be241a8e0790;{name} had a product on {application}.;
en_US;02866adbe88a5b555bf4eacfaeb03e0a;{name count} others;In the phrase: "{name1} and {name count others} are wishing a product on {GetSocial C ac}."
en_US;02aafb7ac1af2f42c560a1d0ef11982c;contents they disapproved;
en_US;02cce8473a9e7659e228eb814562552c;contents you approved;
en_US;02e01766991a1cb4050602ba06a03e95;{name} is opposing {number} contents.;
en_US;0347d099987b2677f6ae74b18e080644;{name1} and {name count others} are applauding {content count contents} on {GetSocial C ac}.;
en_US;037f200f2da5afdaf103cd431add1155;{name1} is suggesting {content1} and {content2} on {GetSocial C ac}.;
en_US;03b22a87aebcbcb52b03cacc1f4ce946;Respected {content1} on {GetSocial C ac}.;
en_US;03c0a847025d2d1542ba9f633adc98b9;contents he approved;
en_US;03d3a6cd9b51645ed9d7b27f5197b01d;{name1} and {name count others} opposed {content count contents} on {GetSocial C ac}.;
en_US;03e64b377ec9070d19fd7c7061ed6174;{name} demanded a product on {application}.;
en_US;03e70af99ddf548187f0a90c65e3bc3d;{name} applauded a content.;
en_US;0411037b8dde66e59496b3e9cf5459fa;{name1} is protesting at {content1} and {content count other contents} on {GetSocial C ac}.;
en_US;041e4239d36316426387f70130f474bb;{content count} contents;In the phrase: "{name1} is suggesting {content count contents} on {GetSocial C ac}."
en_US;0437fa07a72db5b6d5c54251ba7d3bb0;{name count} others;In the phrase: "{name1} and {name count others} are lolling at {content1} and {content2} on {GetSocial C ac}."
en_US;044057f9592aa5275c0f930f6b39f516;{name} approved a content on {application}.;
en_US;0471d8bd5ec39cae5659c0fc7ece67f8;a content {name} disagreed with;
en_US;04722ddb2baf98d65138dd8e15812c3c;{name1} and {name2} reacted to {content1} and {content2} on {GetSocial C ac}.;
en_US;04788ed4b1decb22b87313e3d5bd121b;{name1} is loving {content1} and {content count other contents} on {GetSocial C ac}.;
en_US;04812aa3397eb6f7a96a2eff7f08b3c0;1 other wished this.;
en_US;048a213537558bed200ae2ecb5129315;{name1} suggested {product1} and {product count other products} on {GetSocial C ac}.;
en_US;04a54b0e7a20a12e247a2f9a3635f762;{name1} and {name count others} wished {product1} on {GetSocial C ac}.;
en_US;04ae60509c1f0ba94dc21a2fd035bd79;a content they disapproved;
en_US;04b03d4b4583ef932cb9029fb7c114cb;Is smiling at {product1} on {GetSocial C ac}.;
en_US;04b9483f7ed7cb09825f5ca79c4d5793;{name count} others;In the phrase: "{name1} and {name count others} reacted to {product count products} on {GetSocial C ac}."
en_US;04e140b179f30e04f0662e2d33ee7cad;You opposed this.;
en_US;053779195bdadf84808a31de589e5d12;{name1} and {name count others} disapproved {content1} on {GetSocial C ac}.;
en_US;059d0a2b9363ee7e9021f28c3067f67c;products she lolled at;
en_US;05b78d7a1fd6a02184d2f3771f9e98df;{name1} and {name2} asked you for {=[count] contents and other requests}.;
en_US;05ddcb9691b2b7bd403fe0c60ba155fb;{name1} and {name2} loved this.;
en_US;05e4482d3bc282efac93888eb0a781a2;{name count} others;In the phrase: "{name1} and {name count others} are fancying {product count products} on {GetSocial C ac}."
en_US;0669ced7c2caba29da8868369e7e9990;contents he supported;
en_US;067c2686e65fa2979b1192eaf385135d;{name1} lolled at a content on {GetSocial C ac}.;
en_US;068b9ec370b8d4e4adb328c95db7ed3c;{name count} others;In the phrase: "{name1} and {name count others} thought about {content count contents} on {GetSocial C ac}."
en_US;0692eef059daabb5556f2cfd4aa2678d;{name} asked you for {=[count] products and other requests}.;
en_US;06c85191a346088a5b91585a8c4c395f;1 other respected this. Be the first of your friends.;
en_US;06cce410d186c31826e4795df6be7339;{name count} others;In the phrase: "{name1} and {name count others} are protesting at {content count contents} on {GetSocial C ac}."
en_US;06d91db5d073e7859ac11628dd9c8807;{name1} respected this.;
en_US;06f3fcc7c5be525a88b933aac4770acd;{name1} and {name2} loved {content1} on {GetSocial C ac}.;
en_US;07451ce3fdafc885585ed8ff60cc1d85;Loved {product1} on {GetSocial C ac}.;
en_US;07b0641c50a34bdd57a08d8050f6a5d9;{name1} disagreed with {content1} and {content count other contents} on {GetSocial C ac}.;
en_US;07b75ee2992408b1422f3f77d5a1e774;{product count} other products;In the phrase: "{name1} and {name count others} are suggesting {product1} and {product count other products} on {GetSocial C ac}."
en_US;07c2d79eedc27312876bc4facfd54fbe;1 other reacted to this. Be the first of your friends.;
en_US;07d3271a5c7db9987033e466cc8227b4;{name} is applauding a content on {application}.;
en_US;080887dbc4357f60396f46cfd2c59e7c;{name1} is smiling at a content on {GetSocial C ac}.;
en_US;080a8c277882b35416b92d752f386e85;You and {name1} thought about this.;
en_US;080b735269dd8846ec7471f772321f0c;{content count} contents;In the phrase: "{name1} is opposing {content count contents} on {GetSocial C ac}."
en_US;08209052d6b0affea914211022649fa9;contents they suggested;
en_US;0821c9d87c9be6d53411be15f546717a;Lolled at {product1}.;
en_US;083831766aea05c63202537367daaca9;{product count} products;In the phrase: "{name1} and {name count others} had {product count products} on {GetSocial C ac}."
en_US;0868d06d67b9f8628c4903126013472c;{product count} other products;In the phrase: "{name1} had {product1} and {product count other products} on {GetSocial C ac}."
en_US;0882280bdb4dc4748106995468c0e5d3;{name1} and {name count others} suggested a content on {GetSocial C ac}.;
en_US;08b8f3bd761c25d0d3278d8637e29cf2;{name1} is opposing {content count contents} on {GetSocial C ac}.;
en_US;08db1da796155a25abb84d9ac15f35bf;a content you loved;
en_US;08e941408eb1e27c0ba1b27a47df3cce;Be the first of your friends who is smiling at this.;
en_US;08f815c985ca614e7e337513fc90c3f7;{name1} is needing {product1} on {GetSocial C ac}.;
en_US;091e268b646b60efd83b77e7d08ba32b;{name1} and {name2} sent you {=a content and other requests}.;
en_US;0922f309080b89b8861d9f40bbfb1cf3;{name1} is thinking about {product count products} on {GetSocial C ac}.;
en_US;09311b2a9e3a622bf516132202890171;{name1} is agreeing with {content1} and {content2} on {GetSocial C ac}.;
en_US;09395cfc001c7d1074bbb4869bbc0339;{name} is fancying {number} products on {application}.;
en_US;094ef7fd90d36c3cf221ffac444ceffc;{name} asked you for {=a product}.;
en_US;0961c97b0194c54871b888ccf83f0a83;1 other agreed with this. Be the first of your friends.;
en_US;098b8a03a3e19185869b5cd3eb2930c9;{content count} other contents;In the phrase: "{name1} and {name count others} thought about {content1} and {content count other contents} on {GetSocial C ac}."
en_US;098e5f49e59ca9023c77c9fd60e64c05;products he smiled at;
en_US;0999e5f9b14e11e41b550e0b3e6bd3a7;{name1} is suggesting {product count products} on {GetSocial C ac}.;
en_US;09c0f06ea7bff075a11ee8fe9911b1c1;contents he thought about;
en_US;09c9ce1f9eb499a39837507b69ce9516;{name1} and {name count others} disagreed with {content1} and {content count other contents} on {GetSocial C ac}.;
en_US;09e13a93ccb75856b59272a2025c1f30;a content they supported;
en_US;09f562b9f56c38af2e68ae61ec03c1d7;{name1} thought about {content1} and {content count other contents} on {GetSocial C ac}.;
en_US;0a3eb293596b3dc711e98860225eecab;a content and other requests;In the phrase: "{name} sent you {=a content and other requests}."
en_US;0a5c24258e6da03291db0b6c11b479ed;{name1} and {name2} lolled at a content on {GetSocial C ac}.;
en_US;0a768caebe397335ff5ddf84413c89c4;{name1} and {name count others} supported {content1} on {GetSocial C ac}.;
en_US;0ad856edd8f4637e971d706d5ec6dd10;{name1} supported {content1}.;
en_US;0ad9a1de3e5873577da162dd7e73f062;{name} supported {number} contents on {application}.;
en_US;0af81fb8ca3b34139e685e8029260c1e;a content they applauded;
en_US;0af90ff3bd26cb8201ed3aef1d55aee7;{content count} contents;In the phrase: "{name1} is respecting {content count contents} on {GetSocial C ac}."
en_US;0b13710321eb4c61a0e6f5d978f3b042;{name1} and {name2} supported {content1} and {content2} on {GetSocial C ac}.;
en_US;0b8a665ebd728f52d057ab100d76569f;{name count} others;In the phrase: "{name1} and {name count others} applauded {content1} and {content count other contents} on {GetSocial C ac}."
en_US;0ba2dc386831fad158910314d114103b;{name1} and {name2} lolled at {product count products} on {GetSocial C ac}.;
en_US;0ba70b88709f2e82ab236d1b6a1893b6;{name} supported a content.;
en_US;0bac915fe82a076b9559b8411d4bd906;{name1} and {name2} are disapproving {content count contents} on {GetSocial C ac}.;
en_US;0baf5b436afbf94937d43dcb025c7066;{product count} other products;In the phrase: "{name1} wished {product1} and {product count other products} on {GetSocial C ac}."
en_US;0bb780e078711186d208ad999075832d;{content count} contents;In the phrase: "{name1} and {name2} are disapproving {content count contents} on {GetSocial C ac}."
en_US;0bd23904485f6a2bee9271a1aada71a0;{content count} contents;In the phrase: "{name1} respected {content count contents} on {GetSocial C ac}."
en_US;0bd835ab429bea6b23f0742f1d74d6e7;{name} sent you {=a content and other requests}.;
en_US;0c42d3c3ca162acaffb3e7800e9de69d;{name1} and {name2} disapproved {content count contents} on {GetSocial C ac}.;
en_US;0c4e6dce7ae05b84245bb874e7163a39;{name1} and {name2} smiled at {content1} and {content2} on {GetSocial C ac}.;
en_US;0c52d8ec5d507aeac94b208c26f3579f;Approved {content1} on {GetSocial C ac}.;
en_US;0c5e717569bb4546fc09a5b66ca77a1a;contents they reacted to;
en_US;0c7d4408a1ddc0683d87a2f2e32f0fb2;You and {name1} reacted to this.;
en_US;0cbe59c6fb3607f023f0412205985746;{name1} and {name2} opposed {content count contents} on {GetSocial C ac}.;
en_US;0cca1f704ae3180aa3f0c79f295a39d9;{name} loved {number} contents on {application}.;
en_US;0d0b4a3e4248ae78c73c5994ab63fd0a;You and {number} others needed this.;
en_US;0d5cbf26e175fbbcfd55d036a6c73fdc;1 content;In the phrase: "{=1 content} sent by {name}"
en_US;0dcbcc37dcfc35cb3de11a958a201f06;{name1} lolled at {product count products} on {GetSocial C ac}.;
en_US;0ddb1bbe5a455cdc7b42d8cf30ef8cfc;{name count} others;In the phrase: "{name1} and {name count others} suggested {content1} on {GetSocial C ac}."
en_US;0de0b91635b3f63bbbe87fc95244d0d8;contents she thought about;
en_US;0dec921b36792f64f9495d2c634a01ed;{name} applauded a content on {application}.;
en_US;0dff5c17c2c568390fcad5ec5b4ea7b1;contents you applauded;
en_US;0e34e65910d0a84a354b580f0e04b2f2;a content {name} applauded;
en_US;0e65f4145c964a11220983cf5266a839;{name1} smiled at this.;
en_US;0e7a656982de9b451d737fd1b1259acc;a content he applauded;
en_US;0e8105f526a32af3a49d38787615c728;{name count} others;In the phrase: "{name1} and {name count others} thought about {product count products} on {GetSocial C ac}."
en_US;0e8fb608b94b57f1cec95e79ad1db036;{name count} others;In the phrase: "{name1} and {name count others} are agreeing with a content on {GetSocial C ac}."
en_US;0e92075b72dc0143023e21e1a3f122e6;{name count} others;In the phrase: "{name1} and {name count others} respected {content1} on {GetSocial C ac}."
en_US;0e954368455629b313f0f769d3a45a92;{name count} others;In the phrase: "{name1} and {name count others} thought about {content1} and {content2} on {GetSocial C ac}."
en_US;0ea1b65fa90218215ca5ccc2b4725cf9;{name1} and {name2} are opposing {content1} on {GetSocial C ac}.;
en_US;0eab358940585e7af24e16456dbfc1fd;{content count} contents;In the phrase: "{name1} and {name2} are lolling at {content count contents} on {GetSocial C ac}."
en_US;0ec48588d0c5948eacf73c68f92f2c62;{product count} other products;In the phrase: "{name1} is having {product1} and {product count other products} on {GetSocial C ac}."
en_US;0ec499e6e864c0d9494d8def6a721b68;{name1} and {name count others} are reacting to {content1} and {content count other contents} on {GetSocial C ac}.;
en_US;0ecc120e2b2de43bfeec296029062ace;{name count} others;In the phrase: "{name1} and {name count others} disagreed with {content count contents} on {GetSocial C ac}."
en_US;0ed10df25e3f6ba4d84ad2351ed0d49b;{content count} other contents;In the phrase: "{name1} and {name2} smiled at {content1} and {content count other contents} on {GetSocial C ac}."
en_US;0ee7903c876ba0ed5f66f7da57b7f470;{name1} wished a product on {GetSocial C ac}.;
en_US;0eebe7cbddb7d9ab7981aa071e590d59;Loved {content1} on {GetSocial C ac}.;
en_US;0ef1dc2aea5436b70b4f06d0f909320b;{content count} other contents;In the phrase: "{name1} and {name2} lolled {content1} and {content count other contents} on {GetSocial C ac}."
en_US;0f10a7611dfe1fbc5af493c5f21747e5;{name1} and {name count others} are suggesting {product1} and {product2} on {GetSocial C ac}.;
en_US;0f1db3eaa76e1cbcee991c6f6f17c89c;{name1} and {name count others} disagreed with {content1} and {content2} on {GetSocial C ac}.;
en_US;0f421280b88c94e3eae7828cb0c14214;{content count} other contents;In the phrase: "{name1} and {name count others} are applauding {content1} and {content count other contents} on {GetSocial C ac}."
en_US;0f610098ecafe850aa45f06e793c9638;a content you protested at;
en_US;0f896326604338b4c0accb9926d5cec5;{name1} loved {content1} on {GetSocial C ac}.;
en_US;0f97bd214bfa02e6c59f5c625e2f97c5;{name count} others;In the phrase: "{name1} and {name count others} are respecting a content on {GetSocial C ac}."
en_US;0f9a24808340d55640c2de2b5e3a3295;{name} had {number} products.;
en_US;0fab47c60154b27d33525be5fecd31d5;{product count} other products;In the phrase: "{name1} fancied {product1} and {product count other products} on {GetSocial C ac}."
en_US;0fb4062f98759abbcee5aa544ea1251e;{product count} other products;In the phrase: "{name1} and {name2} are needing {product1} and {product count other products} on {GetSocial C ac}."
en_US;0fc32ab380333a4000962b0fb8cc0628;a product he smiled at;
en_US;0fcc1c9b9b74f9695f833d9758ef91bc;You and {name count} others supported this.;
en_US;0fd6a9231736d5be5851eb0e956e6093;{name1} and {name2} disapproved {content1} on {GetSocial C ac}.;
en_US;0fdb1d62fc041ba15d5306040eb77204;{name1} and {name2} reacted to {product count products} on {GetSocial C ac}.;
en_US;0fec53d92543ce7b67a06a7d91f0184f;{name} is smiling at {number} contents on {application}.;
en_US;0ff14cafb7a197608ed1dd93fe652689;{name1} and {name count others} disapproved a content on {GetSocial C ac}.;
en_US;103ce5320c19756010c8be70a4bddaaf;products he wished;
en_US;104747ff49f2fd7a5dffc40efb773a74;contents she smiled at;
en_US;105493596966f0562838288741743b15;contents they agreed with;
en_US;105f10586599ecd0f8bb24362669bc0d;{content count} contents;In the phrase: "{name1} and {name count others} are loving {content count contents} on {GetSocial C ac}."
en_US;1064868f4e5609e76c0bd27ef64fbfb7;{content count} other contents;In the phrase: "{name1} and {name count others} are supporting {content1} and {content count other contents} on {GetSocial C ac}."
en_US;1066d95fed328a22f25a437cb4dbc9b5;{name count} others;In the phrase: "{name1} and {name count others} are reacting to {product count products} on {GetSocial C ac}."
en_US;107d698506e50058e7148cfc5558660d;{product count} other products;In the phrase: "{name1} and {name count others} lolled at {product1} and {product count other products} on {GetSocial C ac}."
en_US;10a8d4f6697f8225d0b6387eae7c73c9;{name1} and {name count others} had {product count products} on {GetSocial C ac}.;
en_US;10c621f928f015f84396e385d0aa6830;contents she approved;
en_US;10c856c51b667ee8ab339b57e72f4997;{name1} and {name count others} are wishing {product1} on {GetSocial C ac}.;
en_US;10ed75ae180f76d782cafb3347ef9905;products they fancied;
en_US;10eda0dba01178265f8a760005c5a739;{name} applauded {number} contents.;
en_US;10f8c7918e24bc2b15993af1a7efa72b;{name1} approved {content1} on {GetSocial C ac}.;
en_US;1108b0fe0b0b959bc473e1910c5f43f0;You fancied this.;
en_US;111ddc03218b5463918db602c31e9c55;{name count} others;In the phrase: "{name1} and {name count others} loved {content count contents} on {GetSocial C ac}."
en_US;113af1bf41c504cff7c085e856312ee9;{name1} and {name count} others protested at this.;
en_US;11464559e5ec187c588db23c9cf4335c;a content you smiled at;
en_US;114cfd47128a15d0085146871acd4151;{name count} others;In the phrase: "{name1} and {name count others} sent you {=[count] contents and other requests}."
en_US;11cf11f067395dd3632831f77183d1e7;{name1} supported a content on {GetSocial C ac}.;
en_US;1200fe9121d848c6788c2fa3f35f7ffd;{name count} others;In the phrase: "{name1} and {name count others} smiled at {product1} and {product count other products} on {GetSocial C ac}."
