Language;Hash;Sentence;Context
en_US;004fcaa7213d182c40765ec8e6c82f52;{name1} and {name count others} are suggesting {product count products} on {Me Gusta}.;
en_US;0155c92d44896e8c0eb8832116ff3b07;{name1} wished this.;
en_US;016119585304f9f91300cf94d18a332b;{name1} and {name2} loved {product1} and {product count other products} on {Me Gusta}.;
en_US;01cc811880e9a921ebcf4be1696347f8;{product count} products;In the phrase: "{name1} is thinking about {product count products} on {Me Gusta}."
en_US;0260d670c61f4c31bf2e544509000472;{name1} and {name count} others loved this.;
en_US;02809763922dcedb41e1be241a8e0790;{name} had a product on {application}.;
en_US;031638e9ffb6031a8391d0db940e03cc;{name count} others;In the phrase: "{name1} and {name count others} suggested {product count products} on {Me Gusta}."
en_US;03df542dd9f960232789d0775be70caf;{product count} other products;In the phrase: "{name1} wished {product1} and {product count other products} on {Me Gusta}."
en_US;04812aa3397eb6f7a96a2eff7f08b3c0;1 other wished this.;
en_US;05b78d7a1fd6a02184d2f3771f9e98df;{name1} and {name2} asked you for {=[count] contents and other requests}.;
en_US;05ddcb9691b2b7bd403fe0c60ba155fb;{name1} and {name2} loved this.;
en_US;0692eef059daabb5556f2cfd4aa2678d;{name} asked you for {=[count] products and other requests}.;
en_US;080a8c277882b35416b92d752f386e85;You and {name1} thought about this.;
en_US;080c7a72d1bdcd281d1646a03c3d3985;{name1} is wishing a product on {Me Gusta}.;
en_US;091e268b646b60efd83b77e7d08ba32b;{name1} and {name2} sent you {=a content and other requests}.;
en_US;094ef7fd90d36c3cf221ffac444ceffc;{name} asked you for {=a product}.;
en_US;0965212df2e8ca1a7d448a1a6df2eb18;{product count} other products;In the phrase: "{name1} and {name2} are wishing {product1} and {product count other products} on {Me Gusta}."
en_US;0a3eb293596b3dc711e98860225eecab;a content and other requests;In the phrase: "{name} sent you {=a content and other requests}."
en_US;0ac53a772890bf8bf2e8beffec800257;{name1} is wishing {product count products} on {Me Gusta}.;
en_US;0bd835ab429bea6b23f0742f1d74d6e7;{name} sent you {=a content and other requests}.;
en_US;0c49ef5523e3bcb5277d975ed52d234d;{name1} is wishing {product1} and {product2} on {Me Gusta}.;
